regi,plate,year,make,owner,gvw
10988354,58226P,2015,VOLVO,BENNINGTON FINANCIAL CORP.,47000
11081163,,2015,VOLVO,,
11848566,,2016,VOLVO,,
12584392,79997P,2018,FREIGHTLIN,INERTIA CARRIER LTD.,47000
12593082,58284P,2019,VOLVO,TPINE LEASING CAPITAL CORPO,47000
12793166,60145P,2018,VOLVO,VFS CANADA INC.,47000
12875630,49434P,2013,FREIGHTLIN,MITSUBISHI HC CAPITAL CANAD,47000
12995683,46314P,2018,FREIGHTLIN,TPINE LEASING CAPITAL CORPO,47000
13147505,,2014,VOLVO,,
13155227,58857P,2020,VOLVO,MERCADO CAPITAL CORPORATION,47000
13155243,60938P,2020,VOLVO,MERCADO CAPITAL CORPORATION,47000
13280659,56267P,2021,VOLVO,VFS CANADA INC.,47000
13283319,,2019,MACK,,
13322982,57382P,2021,VOLVO,VFS CANADA INC.,47000
13322983,57381P,2021,VOLVO,VFS CANADA INC.,47000
13322984,57380P,2021,VOLVO,VFS CANADA INC.,47000
13339308,72075P,2020,FREIGHTLIN,ARUNDEL CAPITAL CORPORATION,47000
13365870,58006P,2006,PETERBILT,INERTIA CARRIER LTD.,47000
13379226,66581P,2021,VOLVO,CANADIAN WESTERN BANK LEASI,47000
13379227,74785P,2021,VOLVO,CWB NATIONAL LEASING INC.,47000
13379228,74162P,2021,VOLVO,CWB NATIONAL LEASING INC.,47000
13384125,58770P,2016,VOLVO,VFS CANADA INC.,47000
13399973,70362P,2016,VOLVO,INERTIA CARRIER LTD.,47000
13406348,,2018,FREIGHTLIN,,
13428536,58790P,2020,FREIGHTLIN,BENNINGTON FINANCIAL CORP.,47000
13443253,58841P,2018,KENWORTH,PACCAR FINANCIAL SERVICES L,47000
13460240,60178P,2019,FREIGHTLIN,MERCEDES-BENZ FINANCIAL SER,47000
13546360,66618P,2021,VOLVO,VFS CANADA INC.,47000
13604070,66590P,2022,PETERBILT,DE LAGE LANDEN FINANCIAL SE,47000
13810162,66657P,2022,VOLVO,LBEL INC.,47000
13822111,67992P,2022,VOLVO,ROYAL BANK OF CANADA,47000
13822113,67993P,2022,VOLVO,ROYAL BANK OF CANADA,47000
13822114,67994P,2022,VOLVO,ROYAL BANK OF CANADA,47000
13842865,,2016,FREIGHTLIN,,
13852245,68041P,2022,VOLVO,ROYAL BANK OF CANADA,47000
13852246,68042P,2022,VOLVO,ROYAL BANK OF CANADA,47000
13905135,67495P,2022,VOLVO,CANADIAN WESTERN BANK LEASI,47000
13905136,67496P,2022,VOLVO,CANADIAN WESTERN BANK LEASI,47000
13908502,69351P,2019,VOLVO,BENNINGTON FINANCIAL CORP.,12546
13916098,69077P,2022,VOLVO,HSBC BANK CANADA,47000
13916099,69078P,2022,VOLVO,HSBC BANK CANADA,47000
13916100,69076P,2022,VOLVO,HSBC BANK CANADA,47000
13925304,69602P,2022,VOLVO,CANADIAN WESTERN BANK LEASI,47000
13925305,,2022,VOLVO,,
13925306,69603P,2022,VOLVO,CANADIAN WESTERN BANK LEASI,47000
13933053,69732P,2022,VOLVO,VFS CANADA INC.,47000
13948198,70365P,2022,VOLVO,CANADIAN WESTERN BANK LEASI,47000
13948199,70364P,2022,VOLVO,CANADIAN WESTERN BANK LEASI,47000
13948200,,2022,VOLVO,,
13954662,70413P,2007,KENWORTH,INERTIA CARRIER LTD.,47000
13975876,71164P,2023,VOLVO,CANADIAN WESTERN BANK LEASI,47000
13985266,77517P,2022,FREIGHTLIN,INERTIA CARRIER LTD.,47000
14005264,71908P,2023,VOLVO,ROYAL BANK OF CANADA,47000
14037116,72843P,2023,VOLVO,ROYAL BANK OF CANADA,47000
14037117,72842P,2023,VOLVO,ROYAL BANK OF CANADA,47000
14039855,72870P,2023,FREIGHTLIN,INERTIA CARRIER LTD.,47000
14099077,74164P,2023,VOLVO,ROYAL BANK OF CANADA,47000
14122819,,2016,VOLVO,,
14124468,,2017,FREIGHTLIN,,
14134447,,2021,FREIGHTLIN,,
14135245,,2020,INTERNATNA,,
14154585,,2021,VOLVO,,
14175752,79903P,2015,VOLVO,INERTIA CARRIER LTD.,47000
14177747,75162P,2019,VOLVO,DE LAGE LANDEN FINANCIAL SE,12600
14199433,76092P,2015,KENWORTH,INERTIA CARRIER LTD.,47000
14239431,,2019,VOLVO,,
14243463,,1998,FREIGHTLIN,,
14263901,,2018,VOLVO,,
14266252,,2018,FREIGHTLIN,,
14385158,,2024,MACK,,
14385234,80922P,2024,VOLVO,CANADIAN WESTERN BANK LEASI,47000
14385235,80921P,2024,VOLVO,CANADIAN WESTERN BANK LEASI,47000
14411651,,2022,FREIGHTLIN,,
14418391,81602P,2018,FREIGHTLIN,MITSUBISHI HC CAPITAL CANAD,47000
14423115,82078P,2024,VOLVO,CANADIAN WESTERN BANK LEASI,47000
14440590,81613P,2019,MACK,DAIMLER TRUCK FINANCIAL SER,47000
14440651,81614P,2019,VOLVO,TPINE LEASING CAPITAL CORPO,47000
14451489,,2021,FREIGHTLIN,,
14452618,,2019,INTERNATNA,,
14570070,85009P,2023,FREIGHTLIN,INERTIA CARRIER LTD.,47000
14596660,85665P,2024,VOLVO,INERTIA CARRIER LTD.,47000
14596661,85663P,2024,VOLVO,INERTIA CARRIER LTD.,47000
14596662,85664P,2024,VOLVO,INERTIA CARRIER LTD.,47000
14622020,85641P,2024,VOLVO,VFS CANADA INC.,47000
14622021,85643P,2024,VOLVO,VFS CANADA INC.,47000
14622022,85642P,2024,VOLVO,VFS CANADA INC.,47000
14632306,86254P,2025,VOLVO,VFS CANADA INC.,47000
14632307,86140P,2025,VOLVO,VFS CANADA INC.,47000
14632308,86253P,2025,VOLVO,VFS CANADA INC.,47000
14632309,86141P,2024,VOLVO,VFS CANADA INC.,47000
14658689,86827P,2020,VOLVO,BENNINGTON FINANCIAL CORP.,47000
14684266,,2019,VOLVO,,
14725500,86856P,2017,VOLVO,TFG FINANCIAL CORPORATION,47000
14812338,88275P,2024,FREIGHTLIN,INERTIA CARRIER LTD.,47000
14818081,89234P,2019,FREIGHTLIN,INERTIA CARRIER LTD.,47000
